PRICE,BEDROOMS,FLOOR_AREA,BUILD_YEAR
565000,4,160,2003
365000,3,139,2013
287000,3,86,1979
255000,2,59,1953
325000,4,131,1998
409000,4,118,1991
400000,3,132,2014
370000,4,158,2013
565000,4,168,1983
685000,3,126,1999
675000,4,241,1977
367500,3,158,2003
300000,3,94,2008
535000,4,247,2002
540000,4,186,2004
685000,3,196,1985
350000,4,154,1994
570000,4,225,2003
318000,2,90,1959
379000,3,167,1977
387500,4,111,1981
465000,4,173,2000
325000,3,93,1972
515000,3,160,2007
610000,3,121,1920
1950000,5,305,1981
420000,4,295,2006
492000,4,250,2012
201000,3,99,1985
275000,3,108,1996
410000,4,155,1983
315000,4,127,1999
600000,4,222,1988
400000,4,186,2002
350000,3,177,1974
835000,4,170,1998
482000,4,152,2008
1260000,3,227,2000
405000,3,156,1989
465000,3,143,2002
560000,5,168,1996
380000,3,122,1978
360000,3,130,2006
540000,4,221,2005
420000,3,163,1991
330000,4,171,2011
705000,3,132,1952
615000,4,247,1994
565000,3,151,1960
850000,3,120,1959
780000,4,305,2015
520000,3,154,2001
1100000,3,150,1945
590000,5,246,2004
312000,4,101,1993
900000,3,213,2008
580000,4,188,2004
1310000,4,246,2010
470000,3,110,1950
717000,3,176,1995
387000,4,114,1998
330000,3,111,2014
380000,3,156,2016
85000,2,117,1965
345000,3,128,1992
528000,4,180,2008
1350000,4,266,2012
735000,4,223,1982
442500,4,176,2005
1015000,3,312,2003
530000,3,200,1985
515000,3,90,1958
1100000,4,251,2005
1265000,4,261,2005
750000,4,236,2003
472500,4,147,2008
380000,5,153,1994
590000,3,179,2001
835000,4,179,1985
495000,4,155,2015
390000,4,111,1994
280000,3,119,1970
355000,3,140,1974
465000,4,160,1987
685000,4,180,1994
360000,3,130,2006
320000,4,185,2006
492000,3,122,2008
974000,5,290,1990
435000,4,177,1988
900000,3,160,1995
405000,3,110,1975
290000,3,111,1978
1160000,2,201,1950
415000,3,159,2004
525000,4,125,1984
629000,4,229,2012
600000,4,217,2007
427000,3,134,2005
1015000,5,309,1995
445000,4,210,1991
610000,4,167,1985
465000,4,173,1988
454000,4,160,1993
380000,3,131,2000
382000,4,186,2005
1150000,4,209,2001
2200000,2,497,1958
375000,4,140,2006
495000,4,246,2010
445000,3,171,2008
515000,4,150,2002
270000,3,109,2011
780000,5,180,1977
1280000,4,264,1980
410000,4,206,2015
425000,4,143,1983
1330000,3,135,1974
732000,3,145,1990
465000,3,136,2012
380000,3,168,1995
1300000,5,350,2002
710250,4,139,1990
835000,5,197,1986
275000,3,94,1988
400000,4,153,2001
532000,4,191,2004
820000,3,162,2006
427000,4,153,2002
660000,2,100,1962
250000,3,396,2017
508000,4,157,1993
415000,4,115,1994
550000,4,254,2008
935000,4,280,2007
380000,3,179,1994
470000,4,168,1998
475000,4,197,2007
490000,4,79,1975
715000,4,160,1900
1130000,4,241,2009
720000,4,189,1997
475000,4,142,1994
545000,4,170,1984
317500,4,153,1965
465000,3,117,2002
449000,4,185,2004
525000,3,94,1969
900000,4,260,1982
950000,4,287,2009
522000,4,222,2002
464000,4,182,1986
490000,4,166,1989
1160000,4,329,2010
460000,3,109,1997
872000,4,147,1989
335000,3,168,2002
83000,2,100,1959
925000,4,237,1969
330000,3,108,2015
1930000,4,307,2012
547000,3,259,2009
460000,2,76,1969
405000,4,139,1986
1075000,4,330,1989
465000,3,185,2007
335000,4,116,2004
745000,4,337,2008
385000,3,141,2015
480000,3,102,1980
330000,3,100,2000
885000,4,255,2009
610000,4,247,2007
830000,4,266,2001
485000,4,179,1970
769000,5,323,2005
900000,4,346,1998
410000,3,143,1985
475000,4,201,2006
385000,4,132,1993
385000,4,134,1975
730000,5,183,2012
560000,5,270,1990
720000,4,232,1993
505000,3,132,1986
362500,5,153,1998
487000,3,124,1983
600000,3,95,1970
1675000,4,299,2000
315000,3,109,1980
428000,4,204,1980
405000,3,126,1993
643000,4,188,1982
538000,5,212,2006
375000,4,127,1995
395000,3,130,1985
311850,4,154,2014
499000,4,230,1969
620000,4,228,2002
660000,5,269,2004
560003,3,175,1953
481000,4,123,1985
635000,3,160,2001
430000,4,187,2005
727000,4,245,1998
450000,4,187,1985
705000,5,223,2000
470000,4,250,2002
474000,3,240,1974
515000,4,168,2015
272500,3,140,1987
280000,4,105,1990
575000,3,112,1935
495000,4,180,2012
290000,4,132,1984
365000,3,120,1984
670000,5,284,2011
1200000,4,103,1965
910000,3,280,1986
340000,3,105,1970
1800000,4,233,1985
492000,4,197,2008
543800,4,158,1996
360000,4,151,2006
